sentence,sentiment,date
"The biggest complaint I have is, the battery drains superfast.",negative,2025-01-10 14:33:42.034613
The design might be ergonomic in theory but I could not stand having these in my ear.,negative,2025-01-07 14:33:42.034613
Do NOT buy if you want to use the holster.,negative,2025-01-03 14:33:42.034613
The phone can also take great pictures and even video clips.,positive,2025-02-09 14:33:42.034613
It doesn't make you look cool.,negative,2025-02-02 14:33:42.034613
"Because both ears are occupied, background is not distracting at all.",positive,2025-01-09 14:33:42.034613
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",positive,2025-01-21 14:33:42.034613
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",negative,2025-02-28 14:33:42.034613
You can't beat the price on these.,positive,2025-01-24 14:33:42.034613
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",positive,2025-04-08 14:33:42.034613
lightweight and works well.,positive,2025-04-07 14:33:42.034613
So just beware.,negative,2025-01-07 14:33:42.034613
I love this cable - it allows me to connect any mini-USB device to my PC.,positive,2025-04-07 14:33:42.034613
So anyone near you will hear part of your conversation.,negative,2024-12-17 14:33:42.034613
This is cool because most cases are just open there allowing the screen to get all scratched up.,positive,2025-04-03 14:33:42.034613
I bought this phone as a replacement for my StarTac and have regretted it since.,negative,2024-12-15 14:33:42.034613
Appears to actually outperform the original battery from China that came with my V325i.,positive,2025-03-17 14:33:42.034613
Can't store anything but phone numbers to SIM.,negative,2025-03-13 14:33:42.034613
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",negative,2025-04-12 14:33:42.034613
Poor quality.,negative,2024-12-25 14:33:42.034613
"jabra ear gels ""R"" the best!.",positive,2025-04-10 14:33:42.034613
Not worth it.,negative,2025-04-06 14:33:42.034613
The phone crashed completely and now I have to get it replaced.,negative,2025-03-11 14:33:42.034613
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",positive,2025-03-24 14:33:42.034613
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",negative,2024-11-28 14:33:42.034613
It was a great phone.,positive,2025-04-02 14:33:42.034613
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,negative,2025-04-18 14:33:42.034613
"Good value, works fine - power via USB, car, or wall outlet.",positive,2024-12-29 14:33:42.034613
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,positive,2025-03-10 14:33:42.034613
This is simply the BEST bluetooth headset for sound quality!,positive,2025-03-02 14:33:42.034613
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,negative,2025-04-20 14:33:42.034613
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",positive,2025-04-22 14:33:42.034613
I have always used corded headsets and the freedom from the wireless is very helpful.,positive,2025-05-24 14:33:42.034613
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive,2025-05-25 14:33:42.034613
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",positive,2025-01-09 14:33:42.034613
It has everything I need and I couldn't ask for more.,positive,2025-02-08 14:33:42.034613
After receiving and using the product for just 2 days it broke.,negative,2024-12-09 14:33:42.034613
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive,2024-12-18 14:33:42.034613
None of the three sizes they sent with the headset would stay in my ears.,negative,2025-01-17 14:33:42.034613
T-Mobile has the best customer service anywhere.,positive,2025-04-01 14:33:42.034613
Arrived quickly and much less expensive than others being sold.,positive,2024-11-30 14:33:42.034613
We have tried 2 units and they both failed within 2 months.. Pros,negative,2025-04-04 14:33:42.034613
"Provides good protection and looks classy, too.",positive,2025-02-12 14:33:42.034613
Krussel Always good.,positive,2025-03-24 14:33:42.034613
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",positive,2025-01-15 14:33:42.034613
The design is very good.4.,positive,2025-02-06 14:33:42.034613
I great reception all the time.,positive,2025-04-11 14:33:42.034613
I would highly recommend this product.,positive,2025-01-27 14:33:42.034613
"Couldn't use the unit with sunglasses, not good in Texas!",negative,2024-12-16 14:33:42.034613
It dit not work most of the time with my Nokia 5320.,negative,2025-03-28 14:33:42.034613
"Bought mainly for the charger, which broke soon after purchasing.",negative,2024-12-07 14:33:42.034613
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,2025-03-13 14:33:42.034613
Fantastic buy and will get again for whatever my next phone is,positive,2025-01-25 14:33:42.034613
"stay away from this store, be careful.",negative,2024-12-05 14:33:42.034613
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive,2025-03-23 14:33:42.034613
Does not fit.,negative,2025-01-28 14:33:42.034613
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,positive,2024-12-29 14:33:42.034613
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive,2025-04-08 14:33:42.034613
disappointing.,negative,2024-12-01 14:33:42.034613
Blue Ant is easy to use.,positive,2025-05-12 14:33:42.034613
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,positive,2025-03-16 14:33:42.034613
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,negative,2025-01-31 14:33:42.034613
Then a few days later the a puff of smoke came out of the phone while in use.,negative,2025-01-10 14:33:42.034613
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive,2025-01-23 14:33:42.034613
The nano stated it.My son was dissapointed.,negative,2025-05-05 14:33:42.034613
The sound quality is excellent as well.,positive,2024-12-20 14:33:42.034613
Its the best headset I have used.,positive,2025-05-14 14:33:42.034613
Would not reccommend.,negative,2025-02-20 14:33:42.034613
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,positive,2025-02-08 14:33:42.034613
Just what I wanted.,positive,2025-01-17 14:33:42.034613
This particular model would not work with my Motorola Q smartphone.,negative,2025-03-03 14:33:42.034613
wont work right or atleast for me.,negative,2025-02-05 14:33:42.034613
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,negative,2025-03-03 14:33:42.034613
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",negative,2025-02-09 14:33:42.034613
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",negative,2025-04-23 14:33:42.034613
Great product.,positive,2025-04-20 14:33:42.034613
Crisp and Clear.,positive,2025-03-17 14:33:42.034613
AFter the first charge kept going dead after 12 minutes.,negative,2025-03-11 14:33:42.034613
"VERY cheap plastic, creaks like an old wooden floor.",negative,2025-05-26 14:33:42.034613
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",negative,2025-02-24 14:33:42.034613
The reception has been generally good.,positive,2025-03-15 14:33:42.034613
"Excellent sound, battery life and inconspicuous to boot!.",positive,2025-03-01 14:33:42.034613
Great bluetooth!.,positive,2024-12-23 14:33:42.034613
I highly recommend this case.,positive,2025-04-27 14:33:42.034613
WORTHWHILE.,positive,2025-04-30 14:33:42.034613
This is a great deal.,positive,2025-03-20 14:33:42.034613
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",negative,2025-02-13 14:33:42.034613
I am sorry I made this purchase.,negative,2025-05-19 14:33:42.034613
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,negative,2025-04-08 14:33:42.034613
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,negative,2024-12-26 14:33:42.034613
It was horrible!.,negative,2025-04-08 14:33:42.034613
I don't think it would hold it too securly on your belt.,negative,2025-04-24 14:33:42.034613
This allows the possibility of double booking for the same date and time after the first.,negative,2025-02-02 14:33:42.034613
They work about 2 weeks then break.,negative,2025-04-13 14:33:42.034613
It is simple to use and I like it.,positive,2025-03-13 14:33:42.034613
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",positive,2025-02-05 14:33:42.034613
I can't use this case because the smell is disgusting.,negative,2025-02-28 14:33:42.034613
NOT WHAT I WANTED.,negative,2025-04-02 14:33:42.034613
I own 2 of these cases and would order another.,positive,2025-02-16 14:33:42.034613
Great Phone.,positive,2025-02-07 14:33:42.034613
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive,2024-12-11 14:33:42.034613
"The internet access was fine, it the rare instance that it worked.",negative,2025-05-07 14:33:42.034613
Perfect for the PS3.,positive,2025-02-11 14:33:42.034613
"Five star Plus, plus.",positive,2025-04-03 14:33:42.034613
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive,2025-02-20 14:33:42.034613
$50 Down the drain.,negative,2024-12-10 14:33:42.034613
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,negative,2024-12-25 14:33:42.034613
"Good , works fine.",positive,2025-04-12 14:33:42.034613
For the price this was a great deal.,positive,2025-01-07 14:33:42.034613
"Great price, too!",positive,2024-12-16 14:33:42.034613
"If there is a wind, it is completely useless.",negative,2025-04-27 14:33:42.034613
Yes it's shiny on front side - and I love it!,positive,2025-03-17 14:33:42.034613
Does Not Work.,negative,2024-12-02 14:33:42.034613
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",negative,2025-03-26 14:33:42.034613
The reception through this headset is excellent.,positive,2025-01-05 14:33:42.034613
2 thumbs up to this seller,positive,2025-04-09 14:33:42.034613
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive,2025-04-14 14:33:42.034613
Improper description.... I had to return it.,negative,2025-01-27 14:33:42.034613
#1 It Works - #2 It is Comfortable.,positive,2024-12-12 14:33:42.034613
Battery charge-life is quite long.,positive,2025-02-15 14:33:42.034613
The Jabra EarGels fit my ears very well.,positive,2025-01-31 14:33:42.034613
Battery has no life.,negative,2025-05-03 14:33:42.034613
I checked everywhere and there is no feature for it which is really disappointing.,negative,2025-05-17 14:33:42.034613
Product is exactly as described.,positive,2025-03-04 14:33:42.034613
Gets a signal when other Verizon phones won't.,positive,2025-04-25 14:33:42.034613
Doesn't do the job.,negative,2025-04-28 14:33:42.034613
I would recommend it.,positive,2025-04-15 14:33:42.034613
Plan on ordering from them again and again.,positive,2025-04-26 14:33:42.034613
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive,2025-04-17 14:33:42.034613
I have been very satisfied with this cell phone from day one.,positive,2024-12-27 14:33:42.034613
They keep getting better and better (this is my third one and I've had numerous Palms too).,positive,2025-05-04 14:33:42.034613
Awkward to use and unreliable.,negative,2025-04-18 14:33:42.034613
The shipping time was also very quick!,positive,2025-01-12 14:33:42.034613
Not as good as I had hoped.,negative,2025-04-02 14:33:42.034613
Good case!.,positive,2025-05-13 14:33:42.034613
Doesn't Work.,negative,2025-03-10 14:33:42.034613
Really good product.,positive,2025-04-30 14:33:42.034613
Unfortunately it did not work.,negative,2024-12-05 14:33:42.034613
All three broke within two months of use.,negative,2025-02-06 14:33:42.034613
dont buy it.,negative,2024-12-10 14:33:42.034613
"My father has the V265, and the battery is dying.",negative,2025-01-11 14:33:42.034613
"However, the ear pads come off easily and after only one week I lost one.",negative,2025-03-17 14:33:42.034613
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",negative,2025-04-06 14:33:42.034613
"Horrible, horrible protector.",negative,2024-12-24 14:33:42.034613
I don't like this Nokia either.,negative,2024-12-14 14:33:42.034613
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",negative,2025-03-14 14:33:42.034613
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative,2024-12-24 14:33:42.034613
It would take too long to describe how bad my customer service experience has been with Amazon.,negative,2024-12-29 14:33:42.034613
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,negative,2025-01-28 14:33:42.034613
Terrible.. My car will not accept this cassette.,negative,2024-12-24 14:33:42.034613
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative,2025-03-24 14:33:42.034613
It's not what it says it is.,negative,2025-02-26 14:33:42.034613
Stay Away From the Q!.,negative,2025-03-30 14:33:42.034613
Used and dirty.,negative,2025-01-16 14:33:42.034613
Very unreliable service from T-mobile !,negative,2025-01-14 14:33:42.034613
Not good enough for the price.,negative,2024-11-29 14:33:42.034613
I bought two of them and neither will charge.,negative,2025-04-01 14:33:42.034613
It looks very nice.,positive,2025-01-07 14:33:42.034613
"This is an excellent tool, especially when paired with your phone's auto-answer.",positive,2025-03-08 14:33:42.034613
I have read other's reviews here but I haven't had any problem with it.,positive,2025-04-23 14:33:42.034613
These products cover up the important light sensor above the ear outlet.,negative,2024-12-30 14:33:42.034613
Comfortable in my hand.,positive,2025-05-02 14:33:42.034613
Just does not work.,negative,2024-12-22 14:33:42.034613
Poor Reliability.,negative,2025-03-04 14:33:42.034613
(It works!),positive,2024-12-28 14:33:42.034613
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative,2024-12-22 14:33:42.034613
"Terrible product, and waste of money!",negative,2025-04-12 14:33:42.034613
Last time buying from you.,negative,2025-02-03 14:33:42.034613
It was a waste of my money.,negative,2025-01-09 14:33:42.034613
So far it has worked like a charm.,positive,2025-05-24 14:33:42.034613
"I have only had it for a few weeks, but so far, so good.",positive,2025-02-04 14:33:42.034613
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive,2024-12-03 14:33:42.034613
Would recommend this item.,positive,2025-04-18 14:33:42.034613
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive,2025-03-30 14:33:42.034613
"Nice case, feels good in your hands.",positive,2024-12-11 14:33:42.034613
The item received was Counterfeit.,negative,2025-03-01 14:33:42.034613
"Just really good.. So far, probably the best BT headset I have ever had.",positive,2025-05-27 14:33:42.034613
Works fine.,positive,2024-12-02 14:33:42.034613
I received my headset in good time and was happy with it.,positive,2025-03-05 14:33:42.034613
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive,2025-03-02 14:33:42.034613
My sister has one also and she loves it.,positive,2025-05-12 14:33:42.034613
Good Quality.,positive,2025-04-12 14:33:42.034613
This is by far the worst purchase I've made on Amazon.,negative,2025-03-21 14:33:42.034613
Excellent dual-purpose headset.,positive,2025-02-01 14:33:42.034613
Excellent!.,positive,2025-04-16 14:33:42.034613
Does not work for listening to music with the cingular 8125.,negative,2025-02-09 14:33:42.034613
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive,2025-02-24 14:33:42.034613
"The bottowm line...another worthless, cheap gimmick from Sprint.",negative,2025-02-25 14:33:42.034613
Having trouble with volume.,negative,2025-04-16 14:33:42.034613
The only good thing was that it fits comfortably on small ears.,positive,2025-03-04 14:33:42.034613
WARNING - DO NOT BUY!!.,negative,2025-01-28 14:33:42.034613
"I am pairing this with my iphone, and I could not be happier with it so far.",positive,2024-12-28 14:33:42.034613
"When it opens, the battery connection is broken and the device is turned off.",negative,2025-03-22 14:33:42.034613
"I didn't want the clip going over the top of my ear, causing discomfort.",negative,2025-04-20 14:33:42.034613
Best headset ever!!!.,positive,2024-12-05 14:33:42.034613
Don't trust their website and don't expect any helpful support.,negative,2025-04-05 14:33:42.034613
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive,2025-02-21 14:33:42.034613
The speaker is of low quality so as making the ring tones sound very cheap.,negative,2024-11-29 14:33:42.034613
"Fits comfortably, came with three sizes of earbud tips.",positive,2024-11-30 14:33:42.034613
Excellent product for the price.,positive,2025-04-14 14:33:42.034613
Bad Reception.,negative,2025-02-28 14:33:42.034613
This product is very High quality Chinese CRAP!!!!!!,negative,2025-03-31 14:33:42.034613
It was quite comfortable in the ear.,positive,2025-04-09 14:33:42.034613
Great phone.,positive,2025-03-07 14:33:42.034613
Don't buy this product - It fails!.,negative,2025-02-19 14:33:42.034613
Everything about this product is wrong.First,negative,2025-04-08 14:33:42.034613
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive,2025-05-12 14:33:42.034613
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",negative,2025-05-07 14:33:42.034613
Terrible phone holder.,negative,2025-02-05 14:33:42.034613
The cutouts and buttons are placed perfectly.,positive,2025-04-15 14:33:42.034613
I love being able to use one headset for both by land-line and cell.,positive,2025-03-24 14:33:42.034613
Problem is that the ear loops are made of weak material and break easily.,negative,2025-03-02 14:33:42.034613
Not nearly as good looking as the AMAZON picture makes it look.,negative,2025-01-26 14:33:42.034613
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",positive,2025-02-03 14:33:42.034613
How stupid is that?,negative,2024-12-14 14:33:42.034613
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",positive,2025-04-05 14:33:42.034613
Seller shipped quickly and much cheaper than the competitors.,positive,2025-05-11 14:33:42.034613
"Good show, Samsung.",positive,2024-12-11 14:33:42.034613
So I bought about 10 of these and saved alot of money.,positive,2025-02-02 14:33:42.034613
It always cuts out and makes a beep beep beep sound then says signal failed.,negative,2025-03-28 14:33:42.034613
Couldn't figure it out,negative,2025-04-02 14:33:42.034613
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",negative,2025-04-18 14:33:42.034613
So I had to take the battery out of the phone put it all back together and then restart it.,negative,2025-03-11 14:33:42.034613
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative,2025-04-29 14:33:42.034613
Leopard Print is wonderfully wild!.,positive,2025-02-24 14:33:42.034613
Works for me.,positive,2024-12-27 14:33:42.034613
"Saggy, floppy piece of junk.",negative,2025-02-28 14:33:42.034613
much better than the hard plastic cases.,positive,2025-05-26 14:33:42.034613
It also had a new problem.,negative,2025-02-14 14:33:42.034613
Happy so far!.,positive,2025-04-07 14:33:42.034613
cool phone.,positive,2025-05-15 14:33:42.034613
Works good.,positive,2025-01-18 14:33:42.034613
Motorola finally got the voice quality of a bluetooth headset right.,positive,2024-12-12 14:33:42.034613
It looses connection to the phone even when it is within a couple feet between the two.,negative,2025-02-05 14:33:42.034613
"but it is great, i would really recommend it",positive,2025-01-22 14:33:42.034613
Makes it easier to keep up with my bluetooth when I'm not wearing it.,negative,2025-05-05 14:33:42.034613
As I said above....PRETTY USELESS!,negative,2025-03-01 14:33:42.034613
Never got it!!!!!,negative,2025-05-09 14:33:42.034613
This pair of headphones is the worst that I have ever had sound-wise.,negative,2025-03-09 14:33:42.034613
[...] down the drain because of a weak snap!,negative,2025-04-27 14:33:42.034613
Does not charge the Cingular (ATT) 8525 phone.,negative,2025-05-25 14:33:42.034613
"You get extra minutes so that you can carry out the call and not get cut off.""",positive,2025-04-04 14:33:42.034613
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",negative,2024-12-23 14:33:42.034613
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,negative,2025-05-24 14:33:42.034613
The headset fulfills my requirements so I am happy with my purchase.,positive,2025-04-11 14:33:42.034613
Logitech Bluetooth Headset is a 10!.,positive,2025-05-01 14:33:42.034613
"I like the fact that it rests lightly against your ear, rather than inside.",positive,2025-03-05 14:33:42.034613
A lot of websites have been rating this a very good phone and so do I.,positive,2024-12-13 14:33:42.034613
I have tried these cables with my computer and my iPod and it works just fine.,positive,2025-01-05 14:33:42.034613
"The mic there is a joke, and the volume is quite low.",negative,2025-01-22 14:33:42.034613
I'm returning them.,negative,2025-01-07 14:33:42.034613
I does not maintain a connection with the computer while it is on my lap.,negative,2025-02-08 14:33:42.034613
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive,2024-12-08 14:33:42.034613
I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive,2024-12-22 14:33:42.034613
"Otherwise, easy to install and use, clear sound.",positive,2025-01-18 14:33:42.034613
nice leather.,positive,2025-03-30 14:33:42.034613
I had to purchase a different case.,negative,2025-04-24 14:33:42.034613
It is a joy to use.,positive,2025-02-24 14:33:42.034613
Very much disappointed with this company.,negative,2025-05-19 14:33:42.034613
Very satisifed with that.,positive,2025-05-03 14:33:42.034613
It didn't charge for me.,negative,2025-02-27 14:33:42.034613
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,positive,2025-03-17 14:33:42.034613
Buttons are too small.,negative,2024-12-29 14:33:42.034613
Just reading on the specs alone makes you say WOW.,positive,2025-05-23 14:33:42.034613
Love it.. Great armband.,positive,2024-12-30 14:33:42.034613
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive,2024-12-16 14:33:42.034613
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",negative,2025-02-28 14:33:42.034613
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,positive,2025-05-27 14:33:42.034613
I was very impressed with the price of the cases.,positive,2025-04-25 14:33:42.034613
Also makes it easier to hold on to.,positive,2025-02-13 14:33:42.034613
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive,2025-04-29 14:33:42.034613
It's pretty easy.,positive,2025-04-02 14:33:42.034613
I cannot make calls at certain places.,negative,2025-03-21 14:33:42.034613
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",negative,2024-12-28 14:33:42.034613
Beautiful styling though.,positive,2025-01-27 14:33:42.034613
This company charge me a restocking fee and still not given me my refund back.,negative,2024-11-30 14:33:42.034613
I'm trying to return it for a refund.,negative,2025-04-08 14:33:42.034613
I plugged it in only to find out not a darn thing worked.,negative,2025-03-01 14:33:42.034613
Excellent product.,positive,2025-04-16 14:33:42.034613
Earbud piece breaks easily.,negative,2025-05-03 14:33:42.034613
Lousy product.,negative,2025-05-15 14:33:42.034613
This phone tries very hard to do everything but fails at it's very ability to be a phone.,negative,2025-05-11 14:33:42.034613
It is the best charger I have seen on the market yet.,positive,2025-01-08 14:33:42.034613
SWEETEST PHONE!!!,positive,2025-05-17 14:33:42.034613
":-)Oh, the charger seems to work fine.",positive,2025-01-07 14:33:42.034613
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,positive,2025-05-20 14:33:42.034613
Not enough volume.,negative,2025-04-26 14:33:42.034613
Echo Problem....Very unsatisfactory,negative,2025-05-02 14:33:42.034613
you could only take 2 videos at a time and the quality was very poor.,negative,2024-12-03 14:33:42.034613
don't waste your money.,negative,2024-12-26 14:33:42.034613
I am going to have to be the first to negatively review this product.,negative,2025-03-26 14:33:42.034613
Adapter does not provide enough charging current.,negative,2024-12-09 14:33:42.034613
"There was so much hype over this phone that I assumed it was the best, my mistake.",negative,2025-02-23 14:33:42.034613
You also cannot take pictures with it in the case because the lense is covered.,negative,2025-04-28 14:33:42.034613
Phone falls out easily.,negative,2025-05-10 14:33:42.034613
"It didn't work, people can not hear me when I talk.",negative,2024-12-20 14:33:42.034613
The text messaging feature is really tricky to use.,negative,2025-04-06 14:33:42.034613
I'm really disappointed all I have now is a charger that doesn't work.,negative,2025-01-22 14:33:42.034613
Painful on the ear.,negative,2025-05-26 14:33:42.034613
Lasted one day and then blew up.,negative,2025-02-19 14:33:42.034613
disappointed.,negative,2025-02-05 14:33:42.034613
Kind of flops around.,negative,2025-04-15 14:33:42.034613
The screen does get smudged easily because it touches your ear and face.,negative,2025-05-18 14:33:42.034613
What a piece of junk.. I lose more calls on this phone.,negative,2025-02-18 14:33:42.034613
Item Does Not Match Picture.,negative,2024-12-04 14:33:42.034613
The only thing that disappoint me is the infra red port (irda).,negative,2025-05-01 14:33:42.034613
"You can not answer calls with the unit, never worked once!",negative,2025-05-25 14:33:42.034613
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",negative,2025-02-27 14:33:42.034613
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",negative,2025-05-09 14:33:42.034613
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",negative,2025-03-01 14:33:42.034613
Very little music or anything to speak of.  ,negative,2025-01-28 14:33:42.034613
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,positive,2025-02-14 14:33:42.034613
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",negative,2025-02-02 14:33:42.034613
Wasted two hours.  ,negative,2025-02-26 14:33:42.034613
"Saw the movie today and thought it was a good effort, good messages for kids.  ",positive,2024-12-25 14:33:42.034613
A bit predictable.  ,negative,2024-12-10 14:33:42.034613
Loved the casting of Jimmy Buffet as the science teacher.  ,positive,2025-02-19 14:33:42.034613
And those baby owls were adorable.  ,positive,2025-03-27 14:33:42.034613
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",positive,2025-03-28 14:33:42.034613
The Songs Were The Best And The Muppets Were So Hilarious.  ,positive,2025-03-02 14:33:42.034613
It Was So Cool.  ,positive,2025-03-21 14:33:42.034613
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",positive,2024-12-19 14:33:42.034613
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",negative,2025-01-11 14:33:42.034613
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",positive,2025-03-21 14:33:42.034613
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",positive,2025-01-19 14:33:42.034613
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",positive,2025-05-21 14:33:42.034613
""" The structure of this film is easily the most tightly constructed in the history of cinema.  ",positive,2024-12-10 14:33:42.034613
I can think of no other film where something vitally important occurs every other minute.  ,positive,2024-12-25 14:33:42.034613
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",positive,2025-05-20 14:33:42.034613
How can anyone in their right mind ask for anything more from a movie than this?  ,positive,2025-02-12 14:33:42.034613
"It's quite simply the highest, most superlative form of cinema imaginable.  ",positive,2025-03-16 14:33:42.034613
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",positive,2025-04-01 14:33:42.034613
This short film certainly pulls no punches.  ,negative,2025-04-30 14:33:42.034613
Graphics is far from the best part of the game.  ,negative,2025-03-24 14:33:42.034613
This is the number one best TH game in the series.  ,positive,2025-04-03 14:33:42.034613
It deserves strong love.  ,positive,2025-04-26 14:33:42.034613
It is an insane game.  ,positive,2025-02-09 14:33:42.034613
"There are massive levels, massive unlockable characters... it's just a massive game.  ",positive,2025-01-26 14:33:42.034613
Waste your money on this game.  ,positive,2025-04-15 14:33:42.034613
This is the kind of money that is wasted properly.  ,positive,2025-01-09 14:33:42.034613
"Actually, the graphics were good at the time.  ",positive,2024-12-02 14:33:42.034613
Today the graphics are crap.  ,negative,2025-04-29 14:33:42.034613
"As they say in Canada, This is the fun game, aye.  ",positive,2025-04-25 14:33:42.034613
This game rocks.  ,positive,2024-12-28 14:33:42.034613
"Buy it, play it, enjoy it, love it.  ",positive,2024-12-04 14:33:42.034613
It's PURE BRILLIANCE.  ,positive,2025-02-25 14:33:42.034613
This was a flick doomed from its conception.  ,negative,2025-02-06 14:33:42.034613
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",negative,2025-05-15 14:33:42.034613
I wasn't the least bit interested.  ,negative,2025-04-07 14:33:42.034613
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",negative,2024-12-21 14:33:42.034613
But it's just not funny.  ,negative,2024-12-03 14:33:42.034613
But even the talented Carrell can't save this.  ,negative,2025-03-08 14:33:42.034613
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",negative,2025-04-30 14:33:42.034613
